contig_46	Chrs
contig_47	Chrs
contig_44	Chrs
contig_45	pSymA
contig_42	pSymA
contig_43	pSymB
contig_40	Chrs
contig_41	Chrs
contig_48	Chrs
contig_49	UnMapped
contig_179	Chrs
contig_178	Chrs
contig_177	Chrs
contig_176	Chrs
contig_175	Chrs
contig_174	Chrs
contig_173	Chrs
contig_172	UnMapped
contig_171	Chrs
contig_170	UnMapped
contig_82	Chrs
contig_190	Chrs
contig_58	Chrs
contig_60	UnMapped
contig_83	Chrs
contig_9	Chrs
contig_111	Chrs
contig_181	pSymB
contig_72	Chrs
contig_1	UnMapped
contig_3	pSymA
contig_2	pSymB
contig_5	pSymB
contig_4	Chrs
contig_7	pSymB
contig_6	Chrs
contig_182	pSymA
contig_183	UnMapped
contig_180	UnMapped
contig_70	pSymA
contig_186	UnMapped
contig_187	pSymA
contig_184	UnMapped
contig_185	UnMapped
contig_115	Chrs
contig_188	Chrs
contig_189	UnMapped
contig_76	Chrs
contig_108	Chrs
contig_109	pSymA
contig_117	Chrs
contig_102	pSymA
contig_103	Chrs
contig_100	Chrs
contig_116	Chrs
contig_106	UnMapped
contig_107	Chrs
contig_104	Chrs
contig_105	Chrs
contig_54	pSymB
contig_61	UnMapped
contig_142	UnMapped
contig_145	UnMapped
contig_191	UnMapped
contig_213	Chrs
contig_193	pSymA
contig_211	pSymB
contig_195	Chrs
contig_217	Chrs
contig_214	Chrs
contig_196	pSymA
contig_199	Chrs
contig_198	Chrs
contig_218	pSymA
contig_219	Chrs
contig_144	pSymB
contig_119	Chrs
contig_118	Chrs
contig_79	Chrs
contig_78	pSymB
contig_73	Chrs
contig_110	Chrs
contig_113	Chrs
contig_112	pSymB
contig_77	pSymB
contig_114	pSymA
contig_75	UnMapped
contig_74	pSymB
contig_19	pSymB
contig_18	Chrs
contig_12	Chrs
contig_140	Chrs
contig_87	pSymB
contig_11	pSymB
contig_10	pSymA
contig_13	Chrs
contig_141	UnMapped
contig_15	pSymA
contig_14	Chrs
contig_17	Chrs
contig_16	Chrs
contig_201	Chrs
contig_200	Chrs
contig_203	Chrs
contig_101	UnMapped
contig_205	pSymA
contig_204	UnMapped
contig_207	UnMapped
contig_206	pSymA
contig_209	Chrs
contig_130	Chrs
contig_68	pSymB
contig_129	pSymB
contig_64	UnMapped
contig_65	Chrs
contig_66	pSymB
contig_67	UnMapped
contig_120	pSymA
contig_121	pSymB
contig_122	UnMapped
contig_123	Chrs
contig_23	UnMapped
contig_95	Chrs
contig_133	pSymA
contig_132	UnMapped
contig_131	UnMapped
contig_91	pSymB
contig_90	pSymB
contig_93	Chrs
contig_92	UnMapped
contig_137	Chrs
contig_94	UnMapped
contig_97	Chrs
contig_96	pSymB
contig_99	UnMapped
contig_98	Chrs
contig_139	pSymA
contig_138	UnMapped
contig_136	UnMapped
contig_135	Chrs
contig_39	UnMapped
contig_38	UnMapped
contig_37	pSymB
contig_36	pSymB
contig_35	UnMapped
contig_134	UnMapped
contig_33	Chrs
contig_32	pSymA
contig_31	Chrs
contig_30	Chrs
contig_202	pSymA
contig_223	UnMapped
contig_222	Chrs
contig_221	Chrs
contig_220	UnMapped
contig_208	pSymA
contig_71	UnMapped
contig_146	Chrs
contig_147	UnMapped
contig_80	UnMapped
contig_81	Chrs
contig_86	pSymA
contig_143	pSymB
contig_84	Chrs
contig_85	Chrs
contig_88	pSymA
contig_89	UnMapped
contig_148	Chrs
contig_149	Chrs
contig_20	Chrs
contig_21	Chrs
contig_22	pSymB
contig_163	Chrs
contig_24	pSymB
contig_25	UnMapped
contig_26	Chrs
contig_27	pSymB
contig_28	UnMapped
contig_29	pSINME01
contig_56	UnMapped
contig_155	pSymA
contig_154	UnMapped
contig_157	Chrs
contig_156	pSymA
contig_151	UnMapped
contig_150	pSymB
contig_153	UnMapped
contig_152	UnMapped
contig_128	UnMapped
contig_159	Chrs
contig_158	UnMapped
contig_69	Chrs
contig_55	Chrs
contig_212	pSymB
contig_57	Chrs
contig_34	pSymA
contig_51	UnMapped
contig_50	pSymB
contig_53	pSymA
contig_52	pSymB
contig_59	pSymB
contig_210	UnMapped
contig_124	Chrs
contig_192	pSymA
contig_125	pSymA
contig_216	UnMapped
contig_126	pSymA
contig_194	Chrs
contig_168	UnMapped
contig_169	pSymB
contig_127	UnMapped
contig_197	UnMapped
contig_8	pSymA
contig_160	UnMapped
contig_161	pSymA
contig_162	pSymB
contig_215	Chrs
contig_164	Chrs
contig_165	Chrs
contig_166	Chrs
contig_167	pSymB
contig_62	Chrs
contig_63	pSymA
