2514890179	Chrs
2514890178	Chrs
2514890173	Chrs
2514890172	UnMapped
2514890171	UnMapped
2514890177	Chrs
2514890176	pRmeGR4b
2514890175	pSymA
2514890174	Chrs
2514890205	UnMapped
2514890204	pSymA
2514890207	Chrs
2514890206	Chrs
2514890201	pSymA
2514890200	pSymB
2514890203	pSymA
2514890202	Chrs
2514890209	pSymA
2514890208	Chrs
2514890195	Chrs
2514890194	Chrs
2514890197	Chrs
2514890196	Chrs
2514890191	Chrs
2514890190	pSymA
2514890193	pSymA
2514890192	UnMapped
2514890199	Chrs
2514890198	Chrs
2514890210	Chrs
2514890211	pSymB
2514890186	Chrs
2514890187	UnMapped
2514890184	Chrs
2514890185	Chrs
2514890182	UnMapped
2514890183	Chrs
2514890180	Chrs
2514890181	Chrs
2514890188	UnMapped
2514890189	pSymA
